496852	892239754	101
496852	1340314464	255
496852	1669761197	21
496852	2123647774	79
496852	3078198002	230
894344	743535220	172
894344	1221920110	219
894344	1710033604	160
894344	1893887066	71
894344	2653426374	58
894344	3096615832	67
896261	266436239	18
896261	574814500	79
896261	613521884	192
896261	652120060	150
896261	679931392	108
896261	796488541	134
896261	820565662	197
896261	1071033005	143
896261	1101601460	225
896261	1284584259	10
896261	1315750668	63
896261	1392177689	80
896261	1491099524	49
896261	1508473954	230
896261	1727259275	97
896261	1733109014	148
896261	1830010911	136
896261	1912937646	218
896261	1938388784	13
896261	2006983225	116
896261	2210118679	96
896261	2409225971	78
896261	2688475042	20
896261	2796802650	10
896261	2922824229	91
896261	3045487432	222
896261	3377652165	198
896261	3486433586	142
896261	3591087641	129
896261	3631930504	100
896261	3634282130	102
896261	3678993345	216
896261	3786157164	100
896261	3826090690	103
896261	4157950467	125
896261	4239133799	51
896261	4273744336	182
896261	4276513802	216
960576	163029839	162
960576	1099293023	105
960576	1357427221	81
960576	1908128214	91
960576	2892682486	239
960576	3498814304	199
1088449	1177219453	112
1088449	2027007715	211
1088449	2593167834	190
1088449	2856158930	73
1088449	3091411836	195
1088449	3142201935	214
1088449	3977220625	101
1088449	3993754873	109
1553439	22818613	39
1553439	30757523	127
1553439	45747928	95
1553439	167095857	249
1553439	179449383	108
1553439	225174282	150
1553439	261457548	255
1553439	275871126	51
1553439	277822883	208
1553439	371516100	190
1553439	477694040	99
1553439	522931793	152
1553439	591758010	109
1553439	617158215	81
1553439	641594192	224
1553439	730345659	101
1553439	750252843	118
1553439	901962886	110
1553439	1015391489	138
1553439	1278804299	90
1553439	1317912970	68
1553439	1344682596	253
1553439	1371467601	37
1553439	1472796899	141
1553439	1567308847	167
1553439	1590307092	199
1553439	1606320268	71
1553439	1642238207	222
1553439	1719846251	58
1553439	1791855762	59
1553439	1836989266	150
1553439	1865841441	175
1553439	1874519690	1
1553439	1882479439	149
1553439	1974559728	40
1553439	1975921244	61
1553439	2058152762	83
1553439	2177327849	32
1553439	2191812006	159
1553439	2242731376	150
1553439	2272877948	195
1553439	2376799800	227
1553439	2388146753	13
1553439	2489829766	100
1553439	2537373608	172
1553439	2602045172	152
1553439	2662145609	169
1553439	2679583723	182
1553439	2696969946	153
1553439	2698087148	70
1553439	2724600301	119
1553439	2725926061	66
1553439	2739113983	171
1553439	2745988777	135
1553439	2761327626	187
1553439	2812534148	6
1553439	2821108983	65
1553439	2835865570	128
1553439	2938745737	152
1553439	2946633000	8
1553439	2991315016	73
1553439	3038905830	34
1553439	3064973216	56
1553439	3103532089	3
1553439	3136395857	252
1553439	3167119399	103
1553439	3168294840	146
1553439	3172264014	66
1553439	3212150221	182
1553439	3219193992	34
1553439	3247538995	118
1553439	3266983165	200
1553439	3299562402	206
1553439	3350998356	223
1553439	3361063185	16
1553439	3368905848	116
1553439	3635629259	29
1553439	3642646235	72
1553439	3723966954	231
1553439	3798376960	0
1553439	3804724173	247
1553439	3874240292	81
1553439	3894530982	115
1553439	3901172727	1
1553439	3934606093	108
1553439	3939498347	11
1553439	3965832817	76
1553439	4006229891	207
1553439	4008966190	37
1553439	4030619041	222
1553439	4133543084	182
1553439	4139533071	66
1553439	4163825407	129
1553439	4275298247	161
1553439	4279537104	171
1553439	4281292703	218
1553439	4285782409	206
2038525	1585079757	48
2038525	1765501872	11
2038525	3217758875	155
2038525	3353302055	41
2038525	4140303652	60
3205696	2673935558	204
3205696	2687584754	12
3205696	3433220954	225
3205696	3530964005	98
3205696	3971364216	43
3661846	531869674	68
3661846	1066308544	45
3661846	1083831885	88
3661846	1651171146	201
3661846	1886880156	115
3661846	2191489694	174
3661846	3558816922	245
3661846	4037304620	228
3897552	35118474	54
3897552	815480945	216
3897552	1293724380	41
3897552	2610816203	113
3897552	2941995480	108
3939736	1758444300	48
3939736	1867492234	40
3939736	2819380037	247
3939736	3234577544	115
3939736	4151912795	83
3995341	36319889	239
3995341	103057198	213
3995341	720814308	238
3995341	1426965523	180
3995341	1545023496	12
3995341	1737999470	91
3995341	3079114354	66
3995341	3723623819	94
4312469	464879608	84
4312469	898963093	27
4312469	2783324763	120
4312469	3659485272	247
4312469	3826755219	108
4312469	4245899589	208
4508885	10096339	99
4508885	126589699	187
4508885	144776293	68
4508885	225726791	160
4508885	642885907	247
4508885	923985335	102
4508885	1857858460	10
4508885	2655138665	226
4508885	2966626466	205
4508885	3042299198	41
4508885	3453336952	229
4508885	3578205901	103
4508885	3716828253	154
4508885	4220896484	215
4538131	1224501259	3
4538131	1239575799	207
4538131	1295233585	226
4538131	1310003191	51
4538131	1476052401	246
4538131	2242731376	238
4538131	3438738868	25
4538131	3877553450	40
5132158	116453958	234
5132158	139382202	252
5132158	368892880	127
5132158	523194077	239
5132158	1400793722	69
5132158	1633290802	35
5132158	2181598907	12
5132158	2189320526	196
5132158	4169213452	172
5357199	36325026	92
5357199	211069026	29
5357199	1048597090	89
5357199	1078409116	110
5357199	1186423270	15
5357199	1378151867	90
5357199	2202594390	174
5357199	2384513242	192
5357199	2443496456	231
5357199	2512647933	158
5357199	3632363017	26
5357199	3776213584	190
5357199	4072503326	199
5357199	4149232014	121
5418588	220975626	229
5418588	784165905	51
5418588	1679074976	11
5418588	2854833994	181
5418588	3168880199	219
5727989	1825220784	134
5727989	2414984375	113
5727989	2753336450	152
5727989	3142201935	237
5727989	3972706950	254
5798981	379820343	72
5798981	1334396963	71
5798981	2019265849	73
5798981	2921726163	80
5798981	2977455373	118
5995359	72806572	78
5995359	834106454	90
5995359	1128150778	129
5995359	3046023111	125
5995359	3064110365	61
6793603	292242672	76
6793603	499690403	200
6793603	511236429	62
6793603	2228513619	18
6793603	4095217470	1
7206899	544082992	111
7206899	3636363015	130
7206899	3751174990	253
7206899	3976229379	2
7206899	4049161066	96
7787430	267133038	146
7787430	1146753637	152
7787430	1662641133	74
7787430	2376799800	173
7787430	2411732519	190
7787430	2862216143	225
7787430	3364850673	127
7787430	3559315498	95
7787430	4183336091	86
8336193	403797628	197
8336193	842188132	16
8336193	2169311371	12
8336193	2753336450	189
8336193	3317149707	3
8336193	3428371425	252
8336193	3874240292	201
8336193	4292478542	139
8531117	74350006	225
8531117	289629208	130
8531117	320406050	200
8531117	623925684	87
8531117	1015988076	174
